CITY,DISTRICT,NEIGHBOURHOOD,AIR CONDITIONING,FURNISHED,CAR PARK,CENTRAL HEATING,GAS COMBI,UNDERFLOOR HEATING,UNDERFLOOR COOLING,REALTOR FEE,TOTAL FLOORS,COMPLETION DATE,SUBTYPE,PROPERTY SIZE,STOREYS,BEDROOM,BATHROOM,BALCONY,FLOOR,PRICE
Antalya,Kepez,Altınova Sinan,1,0,1,0,1,0,0,FREE,6,6 / 2026,Middle Floor,35.0,1,Studio,1,1,2,51.0
Antalya,Kepez,Altınova Sinan,1,0,1,0,1,0,0,FREE,6,6 / 2026,Middle Floor,55.0,1,1,1,1,2,72.0
Antalya,Kepez,Altınova Sinan,1,0,1,0,1,0,0,FREE,6,6 / 2026,Middle Floor,70.0,1,2,1,1,2,92.0
Antalya,Kepez,Altınova Sinan,1,0,1,0,1,0,0,FREE,6,6 / 2026,Ground Floor,95.0,2,2,2,1,,109.0
Muğla,Bodrum,Akyarlar,1,0,1,0,0,0,0,%2,2,6 / 2002,Detached Villa,310.0,2,7,6,1,,2330.0
Mersin,Mezitli,Deniz,1,0,1,0,1,0,0,FREE,13,6 / 2025,Middle Floor,32.0,1,Studio,1,1,,36.0
Ankara,Pursaklar,Saray Osmangazi Mahallesi,0,1,1,0,0,1,0,FREE,23,12 / 2025,Middle Floor,100.0,1,2,1,1,,184.0
Ankara,Pursaklar,Saray Osmangazi Mahallesi,0,1,1,0,0,1,0,FREE,23,12 / 2025,Middle Floor,153.0,1,4,2,1,,241.0
İzmir,Gaziemir,Fatih,1,0,1,0,1,0,0,FREE,3,6 / 2024,Middle Floor,153.0,1,3,2,2,2,232.0
İzmir,Gaziemir,Fatih,1,0,1,0,1,0,0,FREE,3,6 / 2024,Ground Floor,152.0,1,3,2,2,1,249.0
İzmir,Gaziemir,Fatih,1,0,1,0,1,0,0,FREE,3,6 / 2024,Middle Floor,199.0,1,4,2,2,2,381.0
İzmir,Gaziemir,Fatih,1,0,1,0,1,0,0,FREE,3,6 / 2024,Ground Floor,199.0,1,4,2,2,1,417.0
İzmir,Gaziemir,Fatih,1,0,1,0,1,0,0,FREE,3,6 / 2024,Duplex,220.0,2,4,2,2,1,499.0
İzmir,Gaziemir,Fatih,1,0,0,0,1,0,0,FREE,3,6 / 2024,Semi-Detached Villa,280.0,3,4,3,3,1,637.0
İzmir,Bornova,Kazımdirik,1,0,1,0,0,0,0,FREE,15,8 / 2023,Middle Floor,55.0,1,1,1,1,3,140.0
İzmir,Çeşme,Reisdere,1,0,1,0,0,1,0,FREE,4,12 / 2023,Middle Floor,78.0,1,1,1,1,1,419.0
İzmir,Çeşme,Reisdere,1,0,1,0,0,1,0,FREE,4,12 / 2023,Penthouse,83.0,2,1,1,1,4,486.0
İzmir,Çeşme,Reisdere,1,0,1,0,0,1,0,FREE,4,12 / 2023,Middle Floor,111.0,1,2,2,1,2,565.0
İzmir,Çeşme,Reisdere,1,0,1,0,0,1,0,FREE,4,12 / 2023,Penthouse,124.0,2,2,1,1,4,618.0
İzmir,Çeşme,Reisdere,1,0,1,0,0,1,0,FREE,4,12 / 2023,Duplex,154.0,2,2,1,1,1,664.0
İzmir,Çeşme,Musalla,1,0,1,0,0,1,0,FREE,4,12 / 2024,Middle Floor,101.0,1,1,1,1,2,850.0
İzmir,Çeşme,Musalla,1,0,1,0,0,1,0,FREE,4,12 / 2024,Middle Floor,150.0,1,2,2,1,2,1250.0
İzmir,Çeşme,Musalla,1,0,1,0,0,1,0,FREE,4,12 / 2024,Duplex,247.0,2,2,2,1,4,1605.0
İzmir,Çeşme,Musalla,1,0,1,0,0,1,0,FREE,4,12 / 2024,Duplex,274.0,2,3,2,1,4,2285.0
İzmir,Konak,Ege,1,0,1,1,0,0,0,FREE,24,3 / 2024,Middle Floor,81.0,1,1,1,1,20,213.0
İzmir,Konak,Ege,1,0,1,1,0,0,0,FREE,24,3 / 2024,Middle Floor,124.0,1,2,2,1,2,386.0
İzmir,Konak,Ege,1,0,1,1,0,0,0,FREE,24,3 / 2024,Middle Floor,176.0,1,3,2,2,1,564.0
İzmir,Konak,Ege,1,0,1,1,0,0,0,FREE,24,3 / 2024,Middle Floor,233.0,1,4,2,2,7,958.0
İzmir,Konak,Çınarlı,1,0,1,0,1,1,0,FREE,32,12 / 2025,Middle Floor,73.0,1,1,1,1,2,233.0
İzmir,Konak,Çınarlı,1,0,1,0,1,1,0,FREE,32,12 / 2025,Middle Floor,128.0,1,2,2,1,4,434.0
İzmir,Konak,Çınarlı,1,0,1,0,1,1,0,FREE,32,12 / 2025,Middle Floor,210.0,1,3,2,1,14,582.0
İzmir,Konak,Çınarlı,1,0,1,0,1,1,0,FREE,32,12 / 2025,Middle Floor,297.0,1,4,3,2,26,1180.0
İzmir,Konak,Çınarlı,1,0,1,0,1,1,0,FREE,32,12 / 2025,Middle Floor,45.0,1,5,4,2,25,1285.0
İzmir,Narlıdere,Çamtepe,1,0,1,1,1,0,0,FREE,14,9 / 2024,Middle Floor,104.0,1,2,1,1,3,227.0
İzmir,Narlıdere,Çamtepe,1,0,1,1,1,0,0,FREE,14,9 / 2024,Middle Floor,145.0,1,3,2,1,2,354.0
İzmir,Konak,Çınarlı,1,0,0,1,1,1,0,FREE,25,12 / 2024,Middle Floor,65.0,1,1,1,1,3,242.0
İzmir,Konak,Çınarlı,1,0,0,1,1,1,0,FREE,25,12 / 2024,Middle Floor,103.0,1,2,2,1,4,305.0
İzmir,Konak,Çınarlı,1,0,0,1,1,1,0,FREE,25,12 / 2024,Duplex,93.0,2,1,1,1,2,325.0
İzmir,Konak,Çınarlı,1,0,0,1,1,1,0,FREE,25,12 / 2024,Middle Floor,131.0,1,3,2,3,4,421.0
İzmir,Konak,Çınarlı,1,0,0,1,1,1,0,FREE,25,12 / 2024,Middle Floor,186.0,1,4,3,2,24,687.0
İzmir,Çeşme,Musalla,1,0,1,0,0,1,0,FREE,2,12 / 2024,Detached Villa,357.0,2,4,3,3,1,3035.0
İzmir,Çeşme,Musalla,1,0,1,0,0,1,0,FREE,2,12 / 2024,Detached Villa,482.0,2,6,3,3,1,4100.0
İzmir,Çeşme,Musalla,1,0,1,0,0,1,0,FREE,2,12 / 2024,Detached Villa,561.0,2,5,3,3,1,5155.0
Bursa,Osmangazi,İstiklal,1,0,1,1,0,1,0,FREE,13,2 / 2022,Middle Floor,219.0,1,3,2,1,3,336.0
Bursa,Osmangazi,İstiklal,1,0,1,1,0,1,0,FREE,13,2 / 2022,Duplex,297.0,2,5,4,1,13,490.0
Bursa,Osmangazi,İstiklal,1,0,1,1,0,1,0,FREE,13,2 / 2022,Middle Floor,259.0,1,4,3,1,3,560.0
Antalya,Alanya,Kestel,1,0,1,0,0,1,0,FREE,,5 / 2025,Middle Floor,62.0,1,1,1,1,,340.0
Antalya,Alanya,Kestel,1,0,1,0,0,1,0,FREE,,5 / 2025,Middle Floor,106.0,1,2,2,1,,570.0
Antalya,Alanya,Kestel,1,0,1,0,0,1,0,FREE,,5 / 2025,Penthouse,116.0,1,2,,,,740.0
Antalya,Konyaaltı,Sarısu,1,0,1,0,1,1,0,FREE,,8 / 2024,Shop,144.0,1,1,,,,538.0
Antalya,Alanya,Oba,1,0,1,0,0,0,0,FREE,6,1 / 2025,Middle Floor,65.0,1,1,1,1,,179.0
Antalya,Alanya,Oba,1,0,1,0,0,0,0,FREE,6,1 / 2025,Ground Floor,96.0,2,2,2,1,,305.0
Antalya,Alanya,Oba,1,0,1,0,0,0,0,FREE,6,1 / 2025,Penthouse,150.0,1,2,2,1,,342.0
Antalya,Alanya,Karakocalı,1,0,0,0,0,0,0,FREE,5,12 / 2023,Middle Floor,70.0,1,1,1,1,,145.0
Antalya,Alanya,Karakocalı,1,0,0,0,0,0,0,FREE,5,12 / 2023,Middle Floor,80.0,1,2,1,1,,175.0
Antalya,Alanya,Karakocalı,1,0,0,0,0,0,0,FREE,5,12 / 2023,Penthouse,150.0,1,4,3,4,,275.0
Antalya,Döşemealtı,Yeniköy,1,0,0,0,0,1,0,FREE,3,12 / 2024,Ground Floor,55.0,1,1,1,1,,70.0
Antalya,Döşemealtı,Yeniköy,1,0,0,0,0,1,0,FREE,3,12 / 2024,Middle Floor,55.0,1,1,1,1,,86.0
Antalya,Döşemealtı,Yeniköy,1,0,0,0,0,1,0,FREE,3,12 / 2024,Ground Floor,100.0,1,2,2,2,,103.0
Antalya,Döşemealtı,Yeniköy,1,0,0,0,0,1,0,FREE,3,12 / 2024,Middle Floor,105.0,1,2,2,2,,121.0
Antalya,Aksu,Altıntaş,1,0,0,0,0,0,0,%2,5,8 / 2024,Penthouse,70.0,1,1,1,1,5,130.0
Antalya,Aksu,Altıntaş,1,0,0,0,0,0,0,FREE,,6 / 2025,Middle Floor,155.0,1,2,2,1,,470.0
Antalya,Aksu,Altıntaş,1,0,0,0,0,0,0,FREE,,6 / 2025,Ground Floor,143.0,1,2,2,1,,550.0
Antalya,Aksu,Altıntaş,1,0,0,0,0,0,0,FREE,,6 / 2025,Middle Floor,223.0,1,3,2,1,,755.0
Antalya,Aksu,Altıntaş,1,0,0,0,0,0,0,FREE,,6 / 2025,Middle Floor,226.0,1,4,2,1,,831.0
Antalya,Aksu,Altıntaş,1,0,0,0,0,0,0,FREE,,6 / 2025,Ground Floor,299.0,1,5,2,1,,1050.0
