CITY,DISTRICT,NEIGHBOURHOOD,AIR CONDITIONING,FURNISHED,CAR PARK,CENTRAL HEATING,GAS COMBI,UNDERFLOOR HEATING,UNDERFLOOR COOLING,REALTOR FEE,TOTAL FLOORS,COMPLETION DATE,SUBTYPE,PROPERTY SIZE,STOREYS,BEDROOM,BATHROOM,BALCONY,FLOOR
Antalya,Konyaaltı,Sarısu,1,0,1,0,0,0,1,%2,6,8 / 2024,Ground Floor,72 m²,1,1,1,1,
Antalya,Konyaaltı,Sarısu,1,0,1,0,0,0,1,%2,6,8 / 2024,Middle Floor,49 m²,1,1,1,1,
Antalya,Konyaaltı,Sarısu,1,0,1,0,0,0,1,%2,6,8 / 2024,Middle Floor,86 m²,2,2,1,,
Antalya,Konyaaltı,Sarısu,1,0,1,0,0,0,1,%2,6,8 / 2024,Penthouse,99 m²,2,2,1,1,
Antalya,Konyaaltı,Sarısu,1,0,1,0,0,0,1,%2,6,8 / 2024,Penthouse,147 m²,1,3,2,1,
İzmir,Çiğli,Sasallı,1,0,1,0,1,1,1,FREE,3,1 / 2024,Duplex,98 m²,2,2,2,1,2
İzmir,Çiğli,Sasallı,1,0,1,0,1,1,1,FREE,3,1 / 2024,Ground Floor,110 m²,1,2,2,1,1
İzmir,Çiğli,Sasallı,1,0,1,0,1,1,1,FREE,3,1 / 2024,Duplex,140 m²,2,3,2,2,2
